title,rating,description
The Great Gatsby,4.2,A classic American novel about the Jazz Age
To Kill a Mockingbird,4.5,A powerful story about racial injustice in the American South
1984,4.3,A dystopian social science fiction novel by George Orwell
Pride and Prejudice,4.1,A romantic novel of manners by Jane Austen
The Catcher in the Rye,3.8,A coming-of-age story in American literature
Lord of the Flies,3.9,A novel about British boys stranded on an uninhabited island
The Hobbit,4.4,A fantasy adventure novel by J.R.R. Tolkien
Brave New World,4.0,A dystopian novel exploring themes of technology and society
Jane Eyre,4.2,A bildungsroman following the experiences of its eponymous heroine
The Adventures of Huckleberry Finn,3.7,A novel about a boy's journey down the Mississippi River
Moby Dick,3.6,The narrative of Captain Ahab's obsessive quest for revenge
Wuthering Heights,3.9,A gothic novel of passion and revenge on the Yorkshire moors
The Picture of Dorian Gray,4.1,A philosophical novel about a man who remains young while his portrait ages
Frankenstein,4.0,A gothic novel about a scientist who creates a living being
Dracula,3.8,A gothic horror novel introducing Count Dracula